Normalized,FeatureAmt,SampleReduce,TreeMaxDepth,TreeMinSamplesSplit,TreeAccuracy,ForestMaxDepth,ForestMinSamplesSplit,ForestAccuracy
False,1,False,34,950,0.9248887381940935,6,186,0.9251965252054816
False,1,True,34,950,0.9244630741357073,1,2,0.924925608825809
False,2,False,28,238,0.9452047423367786,3,3,0.9504388275091927
False,2,True,34,950,0.9531918351364203,64,33,0.955482384016198
False,3,False,36,77,0.9786061726578511,64,2,0.9838392626759558
False,3,True,62,18,0.980942657818615,64,2,0.9868980772502978
False,4,False,52,2,0.9816843271015349,45,6,0.9893799264580966
False,4,True,31,81,0.9846823324630112,52,4,0.9919930374238467
False,5,False,52,2,0.9790675688451306,64,2,0.9909192880097412
False,5,True,64,2,0.9836512261580381,64,2,0.9912806539509537
False,6,False,52,2,0.98091436199591,64,2,0.9903036429045141
False,6,True,64,2,0.9858764724390253,43,7,0.9908289856687008
False,7,False,52,2,0.9843008010281366,64,2,0.9924582230666816
False,7,True,48,6,0.9855036096517068,64,2,0.9928437331548913
False,8,False,52,2,0.9856859847442845,64,2,0.9941513359591191
False,8,True,64,2,0.9818283637864137,49,2,0.9915689283842077
False,9,False,52,2,0.9850701263917055,64,2,0.9939973713709742
False,9,True,9,2,0.9846728514544436,64,2,0.9952691293663976
False,10,False,52,2,0.9830692264878801,64,2,0.9943053716297144
False,10,True,64,2,0.9848756218905472,48,6,0.9950248756218906
False,11,False,52,2,0.9827620081360973,61,2,0.9946130875586517
False,11,True,60,2,0.9874600712090681,64,2,0.9948248007275451
True,1,False,34,950,0.9248887381940935,6,186,0.9251965252054816
True,1,True,34,950,0.9244630741357073,1,2,0.924925608825809
True,2,False,24,150,0.9479761049233838,3,6,0.9504389696740941
True,2,True,34,950,0.9535192745601268,63,36,0.9538458298813147
True,3,False,56,83,0.9790678531749332,64,2,0.9838392626759558
True,3,True,64,2,0.980262038454994,64,2,0.9868980772502978
True,4,False,52,2,0.9819921851953737,45,6,0.9892260329524025
True,4,True,4,8,0.9848563968668408,61,2,0.9921671018276763
True,5,False,52,2,0.980145036632341,64,2,0.990765394504047
True,5,True,64,2,0.9818346957311533,64,2,0.9909173478655767
True,6,False,52,2,0.9809144330783606,64,2,0.9901497493988202
True,6,True,64,2,0.9858764724390253,64,2,0.9904620805136833
True,7,False,52,2,0.9843008010281366,64,2,0.9924582230666816
True,7,True,48,6,0.9856870622292155,64,2,0.9924768279998739
True,8,False,52,2,0.9856859847442845,64,2,0.9939973713709742
True,8,True,64,2,0.9820157349687259,49,2,0.9910068148372712
True,9,False,52,2,0.9850701263917055,64,2,0.9941512648766683
True,9,True,9,2,0.984483565064135,64,2,0.9952691293663976
True,10,False,52,2,0.9835311202523144,64,2,0.9943053716297144
True,10,True,64,2,0.9880597014925373,48,6,0.9950248756218906
True,11,False,52,2,0.9827620081360973,61,2,0.9946130875586517
True,11,True,5,2,0.9868628185238681,64,2,0.9948248007275451
